ID,Name,URL,Identifier,Identifier Type,Creator,Origin (publisher),Publication Year,Object (resource type),Content,Methodology,Granularity,Geographical extension,Time reference,Access conditions,Terms of use
14,Potential Evolution of the Cooling Market in the EU27+UK: An Outlook until 2030,https://www.mdpi.com/2071-1050/14/8/4461,https://doi.org/10.3390/su14084461,Digital object identifier,"Pezzutto, S.; Quaglini, G.; Zambito, A.; Novelli, A.; Riviere, P.; Kranzl, L.; Wilczynski, E.",Sustainability,2022,Journal paper,Cooling market,"In this manuscript, a qualitative model—Porter’s five forces analysis (PFFA)—and a quantitative tool—multi-criteria decision analysis (MCDA)—have been applied to produce a forecast and a corresponding validation technique.",NUTS0,EU27 + UK,Until 2030,MDPI access required,n/a
15,Review of heating and cooling technologies for buildings: A techno-economic case study of eleven European countries,https://www.sciencedirect.com/science/article/pii/S0360544223026464?casa_token=UrY-PHnKgw0AAAAA:oS-1Vk3RRPFO03kIC5ZSgClua2wty0iU1HM2BTva1z8TBk0XulqGYTUNoQlT0l3F0t5DOC4oq6o3,https://doi.org/10.1016/j.energy.2023.129252,Digital object identifier,"Benjamin Mitterrutzner, Claudio Zandonella Callegher, Riccardo Fraboni, Eric Wilczynski, Simon Pezzutto",Energy,2023,Journal paper,Heating - cooling,"The present study develops a review of heating and cooling (H&C) technologies used to produce space H&C services in eleven European member states. On the one hand, it revises (a) technical parameters, e.g. energy efficiency, of various H&C technologies. On the other hand, it reflects the status-quo of (b) economic costs of these systems, and it exhibits a (c) short environmental impact assessment. Costs are differentiated between investment and operational costs. The H&C technology portfolio is subdivided into (i) end-use heating technologies, (ii) district heating (DH) technologies and (iii) cooling technologies. ",NUTS0,"Austria, Cyprus, Denmark, Estonia, France, Germany, Italy, Poland, Romania, Spain, and Sweden",2050,ScienceDirect access required,n/a
16,Survey on the energy needs and architectural features of the EU building stock,https://www.rispostaserramenti.com/wp-content/uploads/2015/02/REPORT_EURAC0.pdf,https://www.rispostaserramenti.com/wp-content/uploads/2015/02/REPORT_EURAC0.pdf,Uniform Resource Locator (URL),"Sarah Birchall. BSRIA, Ian Wallis, BSRIA, David Churcher, BSRIA, Simon Pezzutto, EURAC, Roberto Fedrizzi, EURAC, Emmanuelle Causse, UIPI",iNSPiRe,2014,Deliverable,Energy demand,"The dataset reported here is part of an extensive survey covering databases (including
Entranze, Tabula, BPIE, ODYSSEE, etc.) and single sources available in the open literature.
The full report presents information about the building stock in each country separately to the extent that information was able to be collected from public sources. All gathered data in terms of heating, cooling, Domestic Hot Water (DHW), electricity demands and
consumptions have been included into a database, which will be disclosed to the public
before spring 2015.",NUTS0,EU27 + UK,n/a,Open - download,n/a
17,Guiding European Policy toward a low-carbon economy. Modelling sustainable Energy system Development under Environmental and Socioeconomic constraints,https://www.medeas.eu/system/files/documentation/files/Deliverable%202.2%20%28D7%29_Annex12_Task2.2e6_Heating%20Cooling.pdf,https://www.medeas.eu/system/files/documentation/files/Deliverable%202.2%20%28D7%29_Annex12_Task2.2e6_Heating%20Cooling.pdf,Uniform Resource Locator (URL),Jan Blažek,MEDEAS,2016,Deliverable,Sustainable energy system development,"We identify drivers and wider trends that impact future heating and cooling, incl. adaptations required at  the  energy  supply, as well as socioeconomic, technological and policy adaptations. In the
concluding section we provide suggestions for the MEDEAS model development.",n/a,Worldwide,2050,Open - download,n/a
18,"Addressing Barriers for the Market Uptake of Recommended Heating and Cooling Solutions -
Heat Roadmap Europe 4",https://vbn.aau.dk/ws/portalfiles/portal/290997081/HRE4_D7.16_vbn.pdf,https://vbn.aau.dk/ws/portalfiles/portal/290997081/HRE4_D7.16_vbn.pdf,Uniform Resource Locator (URL),"Daniel Trier, PlanEnergi, Magda Kowalska, PlanEnergi, Susana Paardekooper, Aalborg University, Jonathan Volt, BPIE, Maarten De Groote, BPIE, Aksana Krasatsenka, EHP, Dana Popp, EHP, Vincenzo Beletti, EHPA, Thomas Nowak, EHPA, Carsten Rothballer, ICLEI, George Stiff, ICLEI, Alberto Terenzi, ICLEI, Brian Vad Mathiesen, Aalborg University",Heat Roadmap EU,2018,Deliverable,Heating - cooling,"This report describes realised examples of how such barriers have already been addressed and overcome in practice and provide hints as to how these solutions can be readily replicated in other countries, including which countries seem to be in need of such solutions the most.",n/a,n/a,n/a,Open - download,n/a
19,Map of the heat synergy regions and the cost to expand district heating and cooling in all 14 MS,https://heatroadmap.eu/wp-content/uploads/2018/11/D2.2.pdf,https://heatroadmap.eu/wp-content/uploads/2018/11/D2.2.pdf,Uniform Resource Locator (URL),"Urban Persson, Bernd Möller, Eva Wiechers, Lars Grundahl",Heat Roadmap EU,2017,Deliverable,District heating and cooling,The excess heat ratio is calculated for each NUTS3 region. It is a ratio of the theoretical excess heat volume per facility/activity summarized for all facilities/activities and the total residential and service sector heat demand for space heating and domestic hot water in a given NUTS3 region.,NUTS0,"Austria, Belgium, Czech Republic, Germany, Spain, Finland, France, Hungary, Italy, Netherlands, Poland, Romania, Sweden, United Kingdom",n/a,Open - download,n/a
20,Profile of heating and cooling demand in 2015,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4_D3.1.pdf,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4_D3.1.pdf,Uniform Resource Locator (URL),"Tobias Fleiter, Rainer Elsland, Matthias Rehfeldt, Jan Steinbach, Ulrich Reiter, Giacomo Catenazzi, Martin Jakob, Cathelijne Rutten, Robert Harmsen, Florian Dittmann, Philippe Rivière, Pascal Stabat",Heat Roadmap EU,2017,Deliverable,Heating - cooling,"The approach used combines empirical data with bottom-up modelling of energy demand. The empirical data are taken from official national statistics, surveys as well as various statistics provided e.g. by industrial organisations.",NUTS0,EU27 + UK,2015,Open - download,n/a
21,Space Cooling Technology in Europe: Technology Data and Demand Modelling,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4_D3.2.pdf,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4_D3.2.pdf,Uniform Resource Locator (URL),"Florian Dittmann, Philippe Rivière, Pascal Stabat",Heat Roadmap EU,2016,Deliverable,Cooling technology,The total installed capacity and overall efficiency of each technology is determined and predictions of their development up to 2050 are made using a bottom-up stock model which is based on aggregated sales data of the last 24 years from 16 EU member states. ,NUTS0,"Greece, Spain, Italy, Portugal, Romania,
France, Hungary, Austria, Czech Republic, Germany, Poland, Belgium, Netherlands, Sweden, UK, and Finland",Until 2050,Open - download,n/a
22,Baseline scenario of the heating and cooling demand in buildings and industry in the 14 MSs until 2050,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4_D3.3andD3.4.pdf,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4_D3.3andD3.4.pdf,Uniform Resource Locator (URL),"Tobias Fleiter, Rainer Elsland, Andrea Herbst, Pia Manz, Eftim Popovski, Matthias Rehfeldt, Ulrich Reiter, Giacomo Catenazzi, Martin Jakob, Robert Harmsen, Cathelijne Rutten, Florian Dittmann, Philippe Rivière, Pascal Stabat",Heat Roadmap EU,2017,Deliverable,Heating - cooling,This document summarizes the assumptions and definitions taken to construct the baseline scenario.,NUTS0,"Austria, Belgium, Czech Republic, Germany, Spain, Finland, France, Hungary, Italy, Netherlands, Poland, Romania, Sweden, United Kingdom",Until 2050,Open - download,n/a
23,FORECAST Guide for Lead Users,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4_D3.5.pdf,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4_D3.5.pdf,Uniform Resource Locator (URL),"Tobias Fleiter, George Stiff, Ulrich Reiter",Heat Roadmap EU,2017,Deliverable,User guide,"This guide is based on results from other deliverables including the heating and cooling profiles for
2015 (D3.1) and the baseline scenario for delivered heating and coolign demand in 2030 and 2050
(D3.3 and D3.4).",n/a,n/a,n/a,Open - download,n/a
24,Report on cost-curves for built environment and industrial energy efficiency options,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4-D4.2-D4.3.pdf,https://heatroadmap.eu/wp-content/uploads/2018/11/HRE4-D4.2-D4.3.pdf,Uniform Resource Locator (URL),"Robert Harmsen, Bas van Zuijlen, Pia Manz, Tobias Fleiter, Rainer Elsland, Ulrich Reiter, Andrea Palacios, Giacomo Catenazzi, Martin Jakob",Heat Roadmap EU,2017,Deliverable,Cost curves,In the optimization carried out by EnergyPLAN (WP5) a demand cost curve is used. Such curve shows the H&C demand in a specific target year which can be reduced by investing in saving measures. The larger the savings the higher the investment costs of the next unit of savings (reducing marginal utility). Both for 2030 and 2050 a cost curve will be developed.,NUTS0,"Austria, Belgium, Czech Republic, Germany, Spain, Finland, France, Hungary, Italy, Netherlands, Poland, Romania, Sweden, United Kingdom",2030 and 2050,Open - download,n/a
25,Quantifying the Impact of Low-Carbon Heating and Cooling Roadmaps,https://vbn.aau.dk/ws/portalfiles/portal/288075507/Heat_Roadmap_Europe_4_Quantifying_the_Impact_of_Low_Carbon_Heating_and_Cooling_Roadmaps..pdf,https://vbn.aau.dk/ws/portalfiles/portal/288075507/Heat_Roadmap_Europe_4_Quantifying_the_Impact_of_Low_Carbon_Heating_and_Cooling_Roadmaps..pdf,Uniform Resource Locator (URL),"Paardekooper, Susana; Lund, Rasmus Søgaard; Mathiesen, Brian Vad; Chang, Miguel;
Petersen, Uni Reinert; Grundahl, Lars; David, Andrei; Dahlbæk, Jonas; Kapetanakis, Ioannis
Aristeidis; Lund, Henrik; Bertelsen, Nis; Hansen, Kenneth; Drysdale, David William; Persson,
Urban",Heat Roadmap EU,2018,Deliverable,Heating - cooling,"This HRE project is  he 4
th in a series of
analyses that combines local (geographic) data with knowledge on energy savings and detailed all sector hour-by-hour energy system analysis.",NUTS0,"Austria, Belgium, Czech Republic, Germany, Spain, Finland, France, Hungary, Italy, Netherlands, Poland, Romania, Sweden, United Kingdom",n/a,Open - download,n/a
26,WP2 Report – Open Data Set for the EU28,https://www.hotmaps-project.eu/wp-content/uploads/2018/03/D2.3-Hotmaps_for-upload_revised-final_.pdf,https://www.hotmaps-project.eu/wp-content/uploads/2018/03/D2.3-Hotmaps_for-upload_revised-final_.pdf,Uniform Resource Locator (URL),"Simon Pezzutto, Stefano Zambotti, Silvia Croce, Pietro Zambelli, Giulia Garegnani, Chiara Scaramuzzino, Ramón Pascual Pascuas, Franziska Haas, Dagmar Exner, Elena Lucchi, Nives Della Valle, Alyona Zubaryeva (EURAC), Andreas Müller (ethink), Michael Hartner (TUW), Tobias Fleiter, Anna-Lena Klingler, Matthias Kühnbach, Pia Manz, Simon Marwitz, Matthias Rehfeldt, Jan Steinbach, Eftim Popovski",Hotmaps,2019,Deliverable,Open data,"Data has been collected at national or if available at regional/local levels. Data has been generated for four different sectors: residential (single family houses, multifamily houses, and apartment blocks), service (offices, trade, education, health, hotels and restaurants, and other non-residential buildings), industry (iron and steel, non-ferrous metals, paper and printing, non-metallic minerals, chemical industry, food, drink and tobacco, engineering and others not classified), and transport (passenger transport - public, private, rail and freight transport - heavy goods and light commercial vehicles).",NUTS0,EU27 + UK,2016,Open - download,n/a
27,"Heating & Cooling outlook until 2050, EU-28",https://www.hotmaps-project.eu/wp-content/uploads/2018/05/Hotmaps_D5-2_v16_2019-03-01.pdf,https://www.hotmaps-project.eu/wp-content/uploads/2018/05/Hotmaps_D5-2_v16_2019-03-01.pdf,Uniform Resource Locator (URL),"Lukas Kranzl, Michael Hartner, Andreas Müller, Gustav Resch, Sara Fritz, Tobias Fleiter, Andrea Herbst, Matthias Rehfeldt, Pia Manz, Alyona Zubaryeva, Jonatan GÓMEZ VILCHEZ",Hotmaps,2018,Deliverable,Heating - cooling,"In the Hotmaps toolbox, the comparative assessment of heating and cooling planning strategies builds
on predefined indicators like energy demand by energy carriers and end-use, share of renewable energy
sources, CO2-emissions, total costs etc. ",NUTS0,EU27 + UK,Until 2030/2050,Open - download,n/a
28,Guideline on drafting heat/cold supply contracts for small DHC systems,https://www.coolheating.eu/images/downloads/CoolHeating_D5.3_Guideline_on_drafting_heat_cold_supply_contracts_for_small_DHC_systems.pdf,https://www.coolheating.eu/images/downloads/CoolHeating_D5.3_Guideline_on_drafting_heat_cold_supply_contracts_for_small_DHC_systems.pdf,Uniform Resource Locator (URL),"Linn Laurberg Jensen, Dominik Rutz, Rita Mergner, Christian Doczekal, Tomislav Pukšec, Rok Sunko, Blaž Sunko, Skupina FABRIKA, Elma Redžić, Ajla Merzić, Vladimir Gjorgievski, Ilija Batas Bjelic",Coolheating,2017,Deliverable,Heating - cooling,"The document consists of a general introduction and overview of the national regulations on DHC supply contracts, followed by guidelines on contractual issues and examples of contracts. National regulations were collected for each country.",NUTS0,"Denmark, Germany, Austria, Slovenia, Croatia, Bosnia-Herzegovina, Serbia, Republic of Macedonia",n/a,Open - download,n/a
29,Educational e-book about MultiPACK No 1,https://www.ntnu.edu/documents/1272037961/0/723137_Deliverable_16_%28Educational+e-book+about+MULTIPACK+No+1%29.pdf/37332fd4-da00-55d8-ab6f-ff7282949ec8?t=1616766346730,https://www.ntnu.edu/documents/1272037961/0/723137_Deliverable_16_%28Educational+e-book+about+MULTIPACK+No+1%29.pdf/37332fd4-da00-55d8-ab6f-ff7282949ec8?t=1616766346730,Uniform Resource Locator (URL),"Paride Gullo, Lorenzo Fusini, Armin Hafner",MultiPACK,2017,Deliverable,e-book,Educational and knowledge-building promotional material presented are a direct result from the MultiPACK project activities.,n/a,n/a,n/a,Open - download,n/a
30,Educational e-book about MultiPACK No 2,https://www.ntnu.edu/documents/1272037961/0/723137_Deliverable_16_%28Educational+e-book+about+MULTIPACK+No+2%29.pdf/b544d606-c41e-390f-5be6-c82512af7318?t=1616766385953,https://www.ntnu.edu/documents/1272037961/0/723137_Deliverable_16_%28Educational+e-book+about+MULTIPACK+No+2%29.pdf/b544d606-c41e-390f-5be6-c82512af7318?t=1616766385953,Uniform Resource Locator (URL),"Yosr Allouche, Silje Smitt, Armin Hafner ",MultiPACK,2021,Deliverable,e-book,Educational and knowledge-building promotional material presented are a direct result from the MultiPACK project activities.,n/a,n/a,n/a,Open - download,n/a
31,Moderate: Building stock analysis,https://github.com/MODERATE-Project/building-stock-analysis,https://gitlab.inf.unibz.it/moderate/building-stock-analysis/-/tree/main/T3.2-static-analysis?ref_type=heads,Uniform Resource Locator (URL),"Pezzutto, S and Bottino, Dario and Farahi Mohammad, Arif and Wilczynski, Eric",MODERATE,2023,Dataset,Building stock,"Data collection has been conducted on a country-by-country basis, meticulously organized within both the residential and service sectors.",NUTS0,EU27 + UK,n/a,Open - download,n/a
32,Eurostat: Degree days,https://ec.europa.eu/eurostat/web/energy/data/database,nrg_chddr2_m,European Statistical System,Statistical Office of the European Union (Eurostat),Statistical Office of the European Union (Eurostat),2020,Dataset,Heating - cooling,"Heating Degree Days (HDD) index:  the severity of the cold in a specific time period taking into consideration outdoor temperature and average room temperature (in other words the need for heating). The calculation of HDD relies on the base temperature, defined as the lowest daily mean air temperature not leading to indoor heating. The value of the base temperature depends in principle on several factors associated with the building and the surrounding environment. By using a general climatological approach, the base temperature is set to a constant value of 15°C in the HDD calculation. Cooling degree days (CDD) index:  the severity of the heat in a specific time period taking into consideration outdoor temperature and average room temperature (in other words the need for cooling). The calculation of CDD relies on the base temperature, defined as the highest daily mean air temperature not leading to indoor cooling. The value of the base temperature depends in principle on several factors associated with the building and the surrounding environment. By using a general climatological approach, the base temperature is set to a constant value of 24°C in the CDD calculation. For further information, see the methodology documentation.",NUTS3,EU27 + UK,1975 - 2018,Open - download,n/a
33,HotMaps: Building stock analysis,https://gitlab.com/hotmaps/building-stock,https://gitlab.com/hotmaps/building-stock/-/blob/master/data/building_stock.xlsx,Uniform Resource Locator (URL),"Simon Pezzutto, Silvia Croce, Stefano Zambotti, EURAC",HotMaps,2019,Dataset,Building characteristics - Building surface volume ratio,"The data collected in the building stock analysis are used as starting point to calculate the useful energy demand (UED) for space heating (SH), space cooling (SC), and domestic hot water (DHW) for each EU28 MS down to its local level, and to derive scenarios for the future development of the UED. ",NUTS0,EU27 + UK,The majority of data refer to the year 2016,Open - download,n/a
34,Fuel consumption and technologies used in the heating/cooling sector,https://energy.ec.europa.eu/publications/mapping-and-analyses-current-and-future-2020-2030-heatingcooling-fuel-deployment-fossilrenewables-1_en,https://energy.ec.europa.eu/publications/mapping-and-analyses-current-and-future-2020-2030-heatingcooling-fuel-deployment-fossilrenewables-1_en,Uniform Resource Locator (URL),Authors of ENER/C2/2014-641 tender ,European Commission Directorate-General for Energy (DG Energy),2020,Dataset,Fuel consumption,"End-use energy balances for H/C for 2012: A consistent end-use energy balance is compiled for Europe’s H/C sector. The results are disaggregated by country, sector, sub-sector, building type, energy carrier end-use and temperature level. Current state of H/C technologies: This work package gathers information on the current stock of H/C technologies in European countries. It distinguishes technologies in buildings, industry and district heating and assesses the current performance of H/C technologies. ",NUTS0,"EU27 + UK,  Switzerland, Norway, and Iceland",2020-2030,Open - download,n/a
35,IEA SHC Task 45: Large Solar Heating and Cooling Systems,https://task45.iea-shc.org/system-database,https://task45.iea-shc.org/system-database,Uniform Resource Locator (URL),"Sabine Putz, S.O.L.I.D.",IEA Solar Heating and Cooling Programme,2014,Dataset,Heating - cooling,Information was collected to create a comprehensive database of worldwide large solar heating and cooling systems has been established in Task 45.,NUTS0,Worldwide,1985-2014,Open - download,n/a
36,Eurostat: Renewable energy sources in heating and cooling,https://ec.europa.eu/eurostat/databrowser/view/NRG_IND_REN__custom_9447756/default/table?lang=en,nrg_ind_ren,European Statistical System,Statistical Office of the European Union (Eurostat),Statistical Office of the European Union (Eurostat),2024,Dataset,Renewable energy sources,"Data until 2020 are calculated on the basis of RED I, while data for 2021 follow RED II. Due to the change of legal basis, a break in series occurs between 2020 and 2021. Readers are encouraged to analyse the differences between both Directives (RED I and RED II), the energy sector and all national specificities before drawing any conclusions from the comparison of year 2021 with previous time series. The SHARES Manual provides details on the methodology used for the calculation of the share of renewables.

Hydro is normalised (averaged over a number of years to smooth out the effects of climatic variation) and excluding pumping. Wind is also normalised (and from 2021 onwards as per RED II separately for on-shore and off-shore). Solar includes solar photovoltaics and solar thermal power generation. All other renewables include electricity generation from gaseous and liquid biofuels, renewable municipal waste, geothermal, and tide, wave & ocean. Only electricity produced from compliant liquid biofuels can be accounted. For 2021 onwards (as per RED II), also solid and gaseous biofuels combusted in installations above a certain threshold need to comply with sustainability and greenhouse gas emissions saving criteria. Renewable energy sources used for heating and cooling include solar thermal, geothermal energy, ambient heat captured by heat pumps for heating (and from 2021 onwards, renewable cooling, as per RED II), solid, liquid and gaseous biofuels, and the renewable part of waste. Only heat produced from compliant liquid biofuels can be accounted for. From 2021 onwards (as per RED II), solid and gaseous biofuels combusted in installations above a certain threshold need to comply with sustainability and greenhouse gas emissions saving criteria. RED II modifies the multipliers for the use of renewable electricity in different means of transport.",NUTS0,EU27,2011-2020,Open - download,n/a
37,Electricity prices for household consumers,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_204/default/line?lang=en&category=nrg.nrg_price.nrg_pc,nrg_pc_204,European Statistical System,Statistical Office of the European Union (Eurostat),Statistical Office of the European Union (Eurostat),2020,Dataset,Electricity prices,"Electricity prices are collected by a half-yearly questionnaire on electricity prices for households. For further information, see the methodology documentation.",NUTS0,"EU27 + UK plus Iceland, Liechtenstein, Norway, Montenegro, North Macedonia, Albania, Serbia, Turkey, Bosnia and Herzegovina, Kosovo, Moldova, Ukraine, Georgia",bi-annual data (from 2007 onwards),Open - download,n/a
